0>1 0>10926
1>2 1>22494 10926>10927
2>3 2>39659 10927>10928 22494>22495
3>4 3>56823 10928>10929 22495>22496 39659>39660
4>5 4>86702 10929>10930 22496>22497 39660>39661 56823>56824
5>6 5>62712 10930>10931 22497>22498 39661>39662 56824>56825 86702>86703
6>7 6>12695 10931>10932 22498>22499 39662>39663 56825>56826 62712>62713 86703>86704
7>8 7>16377 10932>10933 12695>12696 22499>22500 39663>39664 56826>56827 62713>62714 86704>86705
8>9 10933>10934 12696>12697 16377>16378 22500>22501 39664>39665 56827>56828 62714>62715 86705>86706
9>10 10934>10935 12697>12698 16378>16379 22501>22502 39665>39666 56828>56829 62715>62716 86706>86707
10>11 10935>10936 12698>12699 16379>16380 22502>22503 39666>39667 56829>56830 62716>62717 86707>86708
11>12 10936>10937 12699>12700 16380>16381 22503>22504 39667>39668 56830>56831 62717>62718 86708>86709
12>13 10937>10938 12700>12701 16381>16382 22504>22505 39668>39669 56831>56832 62718>62719 86709>86710
13>14 10938>10939 12701>12702 16382>16383 22505>22506 39669>39670 56832>56833 62719>62720 86710>86711
14>15 10939>10940 12702>12703 16383>16384 22506>22507 39670>39671 56833>56834 62720>62721 86711>86712
15>16 10940>10941 12703>12704 16384>16385 22507>22508 39671>39672 56834>56835 62721>62722 86712>86713
16>17 10941>10942 12704>12705 16385>16386 22508>22509 39672>39673 56835>56836 62722>62723 86713>86714
17>18 10942>10943 12705>12706 16386>16387 22509>22510 39673>39674 56836>56837 62723>62724 86714>86715
18>19 10943>10944 12706>12707 16387>16388 22510>22511 39674>39675 56837>56838 62724>62725 86715>86716
19>20 10944>10945 12707>12708 16388>16389 22511>22512 39675>39676 56838>56839 62725>62726 86716>86717
20>21 10945>10946 12708>12709 16389>16390 22512>22513 39676>39677 56839>56840 62726>62727 86717>86718
21>22 10946>10947 12709>12710 16390>16391 22513>22514 39677>39678 56840>56841 62727>62728 86718>86719
22>23 10947>10948 12710>12711 16391>16392 22514>22515 39678>39679 56841>56842 62728>62729 86719>86720
23>24 10948>10949 12711>12712 16392>16393 22515>22516 39679>39680 56842>56843 62729>62730 86720>86721
24>25 10949>10950 12712>12713 16393>16394 22516>22517 39680>39681 56843>56844 62730>62731 86721>86722
25>26 10950>10951 12713>12714 16394>16395 22517>22518 39681>39682 56844>56845 62731>62732 86722>86723
26>27 10951>10952 12714>12715 16395>16396 22518>22519 39682>39683 56845>56846 62732>62733 86723>86724
27>28 10952>10953 12715>12716 16396>16397 22519>22520 39683>39684 56846>56847 62733>62734 86724>86725
28>29 10953>10954 12716>12717 16397>16398 22520>22521 39684>39685 56847>56848 62734>62735 86725>86726
29>30 10954>10955 12717>12718 16398>16399 22521>22522 39685>39686 56848>56849 62735>62736 86726>86727
30>31 10955>10956 12718>12719 16399>16400 22522>22523 39686>39687 56849>56850 62736>62737 86727>86728
31>32 10956>10957 12719>12720 16400>16401 22523>22524 39687>39688 56850>56851 62737>62738 86728>86729
32>33 10957>10958 12720>12721 16401>16402 22524>22525 39688>39689 56851>56852 62738>62739 86729>86730
33>34 10958>10959 12721>12722 16402>16403 22525>22526 39689>39690 56852>56853 62739>62740 86730>86731
34>35 10959>10960 12722>12723 16403>16404 22526>22527 39690>39691 56853>56854 62740>62741 86731>86732
35>36 10960>10961 12723>12724 16404>16405 22527>22528 39691>39692 56854>56855 62741>62742 86732>86733
36>37 10961>10962 12724>12725 16405>16406 22528>22529 39692>39693 56855>56856 62742>62743 86733>86734
37>38 10962>10963 12725>12726 16406>16407 22529>22530 39693>39694 56856>56857 62743>62744 86734>86735
38>39 10963>10964 12726>12727 16407>16408 22530>22531 39694>39695 56857>56858 62744>62745 86735>86736
39>40 10964>10965 12727>12728 16408>16409 22531>22532 39695>39696 56858>56859 62745>62746 86736>86737
40>41 10965>10966 12728>12729 16409>16410 22532>22533 39696>39697 56859>56860 62746>62747 86737>86738
41>42 10966>10967 12729>12730 16410>16411 22533>22534 39697>39698 56860>56861 62747>62748 86738>86739
42>43 10967>10968 12730>12731 16411>16412 22534>22535 39698>39699 56861>56862 62748>62749 86739>86740
43>44 10968>10969 12731>12732 16412>16413 22535>22536 39699>39700 56862>56863 62749>62750 86740>86741
44>45 10969>10970 12732>12733 16413>16414 22536>22537 39700>39701 56863>56864 62750>62751 86741>86742
45>46 10970>10971 12733>12734 16414>16415 22537>22538 39701>39702 56864>56865 62751>62752 86742>86743
46>47 10971>10972 12734>12735 16415>16416 22538>22539 39702>39703 56865>56866 62752>62753 86743>86744
47>48 10972>10973 12735>12736 16416>16417 22539>22540 39703>39704 56866>56867 62753>62754 86744>86745
48>49 10973>10974 12736>12737 16417>16418 22540>22541 39704>39705 56867>56868 62754>62755 86745>86746
49>50 10974>10975 12737>12738 16418>16419 22541>22542 39705>39706 56868>56869 62755>62756 86746>86747
